Fecha,Temperatura_C
2014-01-03,22.618
2014-01-04,21.903
2014-01-05,20.508
2014-01-06,20.45
2014-01-07,21.105
2014-01-08,19.69
2014-01-09,17.435
2014-01-10,18.691
2014-01-11,20.85
2014-01-12,21.769
2014-01-13,20.008
2014-01-14,20.505
2014-01-15,23.749
2014-01-16,21.192
2014-01-17,19.574
2014-01-18,17.424
2014-01-19,19.743
2014-01-20,19.119
2014-01-21,18.258
2014-01-22,18.265
2014-01-23,16.633
2014-01-24,16.417
2014-01-25,17.985
2014-01-26,17.945
2014-01-27,16.539
2014-01-28,17.635
2014-01-29,20.013
2014-01-30,19.932
2014-01-31,19.274
2014-02-01,17.479
2014-02-02,16.336
2014-02-03,17.518
2014-02-04,18.272
2014-02-05,16.422
2014-02-06,17.737
2014-02-07,18.486
2014-02-08,18.272
2014-02-09,19.038
2014-02-10,19.458
2014-02-11,19.687
2014-02-12,19.747
2014-02-13,18.71
2014-02-14,18.312
2014-02-15,15.2
2014-02-16,17.807
2014-02-17,18.054
2014-02-18,18.385
2014-02-19,18.164
2014-02-20,18.144
2014-02-21,17.766
2014-02-22,18.938
2014-02-23,18.987
2014-02-24,16.646
2014-02-25,16.081
2014-02-26,17.635
2014-02-27,19.88
2014-02-28,18.085
2014-03-01,13.837
2014-03-02,14.164
2014-03-03,15.21
2014-03-04,17.311
2014-03-05,17.985
2014-03-06,18.352
2014-03-07,19.218
2014-03-08,19.459
2014-03-09,16.597
2014-03-10,16.219
2014-03-11,16.304
2014-03-12,17.0
2014-03-13,15.336
2014-03-14,14.282
2014-03-15,14.707
2014-03-16,16.852
2014-03-17,17.702
2014-03-18,15.542
2014-03-19,15.729
2014-03-20,16.921
2014-03-21,18.329
2014-03-22,20.462
2014-03-23,18.844
2014-03-24,17.989
2014-03-25,18.16
2014-03-26,16.76
2014-03-27,16.241
2014-03-28,16.489
2014-03-29,15.143
2014-03-30,11.335
2014-03-31,10.979
2014-04-01,14.299
2014-04-02,14.366
2014-04-03,14.413
2014-04-04,14.481
2014-04-05,14.752
2014-04-06,12.883
2014-04-07,8.345
2014-04-08,11.712
2014-04-09,12.04
2014-04-10,12.608
2014-04-11,10.752
2014-04-12,12.582
2014-04-13,15.281
2014-04-14,16.884
2014-04-15,16.52
2014-04-16,13.888
2014-04-17,11.914
2014-04-18,11.158
2014-04-19,13.78
2014-04-20,14.706
2014-04-21,13.635
2014-04-22,16.039
2014-04-23,16.2
2014-04-24,16.633
2014-04-25,14.854
2014-04-26,12.786
2014-04-27,9.896
2014-04-28,11.916
2014-04-29,10.849
2014-04-30,9.302
2014-05-01,6.243
2014-05-02,7.575
2014-05-03,9.526
2014-05-04,11.047
2014-05-05,12.62
2014-05-06,13.913
2014-05-07,14.141
2014-05-08,15.431
2014-05-09,13.62
2014-05-10,12.657
2014-05-11,10.423
2014-05-12,10.407
2014-05-13,12.298
2014-05-14,13.125
2014-05-15,12.656
2014-05-16,11.82
2014-05-17,11.729
2014-05-18,12.083
2014-05-19,11.293
2014-05-20,7.655
2014-05-21,3.705
2014-05-22,4.668
2014-05-23,6.222
2014-05-24,5.784
2014-05-25,5.422
2014-05-26,7.944
2014-05-27,10.65
2014-05-28,11.275
2014-05-29,8.631
2014-05-30,4.656
2014-05-31,5.335
2014-06-01,8.481
2014-06-02,8.469
2014-06-03,5.474
2014-06-04,-0.516
2014-06-05,-2.191
2014-06-06,-0.028
2014-06-07,-0.66
2014-06-08,0.608
2014-06-09,3.721
2014-06-10,4.804
2014-06-11,5.65
2014-06-12,-1.025
2014-06-13,0.508
2014-06-14,5.31
2014-06-15,6.73
2014-06-16,7.172
2014-06-17,7.355
2014-06-18,7.802
2014-06-19,8.717
2014-06-20,8.412
2014-06-21,6.193
2014-06-22,5.502
2014-06-23,7.474
2014-06-24,7.952
2014-06-25,6.138
2014-06-26,4.303
2014-06-27,3.71
2014-06-28,5.745
2014-06-29,7.42
2014-06-30,7.013
2014-07-01,6.448
2014-07-02,3.427
2014-07-03,4.027
2014-07-04,3.897
2014-07-05,2.665
2014-07-06,2.626
2014-07-07,7.138
2014-07-08,8.748
2014-07-09,9.824
2014-07-10,11.19
2014-07-11,7.502
2014-07-12,8.152
2014-07-13,11.281
2014-07-14,7.941
2014-07-15,4.397
2014-07-16,6.961
2014-07-17,8.193
2014-07-18,10.113
2014-07-19,11.475
2014-07-20,10.542
2014-07-21,6.862
2014-07-22,2.839
2014-07-23,1.498
2014-07-24,2.282
2014-07-25,7.142
2014-07-26,8.262
2014-07-27,8.98
2014-07-28,11.898
2014-07-29,11.667
2014-07-30,12.737
2014-07-31,8.123
2014-08-01,10.562
2014-08-02,13.484
2014-08-03,8.23
2014-08-04,9.568
2014-08-05,8.906
2014-08-06,3.351
2014-08-07,2.723
2014-08-08,9.582
2014-08-09,12.033
2014-08-10,9.686
2014-08-11,7.838
2014-08-12,6.55
2014-08-13,9.988
2014-08-14,12.2
2014-08-15,12.813
2014-08-16,14.62
2014-08-17,16.488
2014-08-18,17.571
2014-08-19,17.268
2014-08-20,14.946
2014-08-21,12.761
2014-08-22,8.711
2014-08-23,3.771
2014-08-24,0.374
2014-08-25,2.197
2014-08-26,8.609
2014-08-27,8.723
2014-08-28,9.195
2014-08-29,10.757
2014-08-30,7.717
2014-08-31,10.749
2014-09-01,8.422
2014-09-02,6.357
2014-09-03,6.639
2014-09-04,7.29
2014-09-05,4.431
2014-09-06,5.003
2014-09-07,11.196
2014-09-08,10.987
2014-09-09,6.068
2014-09-10,4.791
2014-09-11,7.619
2014-09-12,9.665
2014-09-13,7.268
2014-09-14,8.785
2014-09-15,14.006
2014-09-16,11.824
2014-09-17,10.685
2014-09-18,9.388
2014-09-19,10.129
2014-09-20,12.721
2014-09-21,12.297
2014-09-22,6.796
2014-09-23,6.348
2014-09-24,7.556
2014-09-25,7.491
2014-09-26,9.096
2014-09-27,10.434
2014-09-28,12.36
2014-09-29,10.112
2014-09-30,12.054
2014-10-01,14.426
2014-10-02,14.829
2014-10-03,13.15
2014-10-04,8.66
2014-10-05,11.402
2014-10-06,16.932
2014-10-07,15.753
2014-10-08,12.387
2014-10-09,10.373
2014-10-10,12.313
2014-10-11,13.274
2014-10-12,14.846
2014-10-13,16.837
2014-10-14,16.395
2014-10-15,13.3
2014-10-16,13.283
2014-10-17,12.906
2014-10-18,9.395
2014-10-19,14.044
2014-10-20,17.692
2014-10-21,18.793
2014-10-22,18.945
2014-10-23,19.146
2014-10-24,19.316
2014-10-25,20.177
2014-10-26,15.717
2014-10-27,13.852
2014-10-28,12.947
2014-10-29,11.189
2014-10-30,11.087
2014-10-31,12.358
2014-11-01,11.009
2014-11-02,10.902
2014-11-03,11.36
2014-11-04,13.675
2014-11-05,13.327
2014-11-06,14.75
2014-11-07,15.686
2014-11-08,17.613
2014-11-09,17.326
2014-11-10,16.351
2014-11-11,15.213
2014-11-12,15.043
2014-11-13,16.572
2014-11-14,18.097
2014-11-15,18.197
2014-11-16,19.228
2014-11-17,19.368
2014-11-18,16.3
2014-11-19,14.835
2014-11-20,12.418
2014-11-21,14.073
2014-11-22,16.616
2014-11-23,15.291
2014-11-24,13.449
2014-11-25,16.937
2014-11-26,16.722
2014-11-27,17.654
2014-11-28,16.128
2014-11-29,9.172
2014-11-30,8.484
2014-12-01,12.917
2014-12-02,16.907
2014-12-03,19.924
2014-12-04,20.668
2014-12-05,18.53
2014-12-06,14.183
2014-12-07,18.358
2014-12-08,19.4
2014-12-09,18.138
2014-12-10,16.701
2014-12-11,16.697
2014-12-12,16.387
2014-12-13,16.938
2014-12-14,16.722
2014-12-15,15.35
2014-12-16,15.79
2014-12-17,16.586
2014-12-18,17.745
2014-12-19,16.829
2014-12-20,10.77
2014-12-21,8.925
2014-12-22,12.911
2014-12-23,18.78
2014-12-24,18.298
2014-12-25,18.588
2014-12-26,19.531
2014-12-27,19.348
2014-12-28,20.078
2014-12-29,18.588
2014-12-30,17.427
2014-12-31,16.315
2015-01-01,17.254
2015-01-02,18.3
2015-01-03,20.407
2015-01-04,21.845
2015-01-05,20.988
2015-01-06,21.175
2015-01-07,19.24
2015-01-08,19.542
2015-01-09,21.73
2015-01-10,21.801
2015-01-11,21.915
2015-01-12,20.314
2015-01-13,19.474
2015-01-14,20.307
2015-01-15,21.131
2015-01-16,21.23
2015-01-17,21.299
2015-01-18,20.305
2015-01-19,18.517
2015-01-20,18.465
2015-01-21,19.121
2015-01-22,20.02
2015-01-23,20.916
2015-01-24,20.552
2015-01-25,20.34
2015-01-26,20.538
2015-01-27,19.903
2015-01-28,19.584
2015-01-29,20.678
2015-01-30,21.011
2015-01-31,21.31
2015-02-01,20.847
2015-02-02,20.462
2015-02-03,20.196
2015-02-04,20.784
2015-02-05,20.217
2015-02-06,19.969
2015-02-07,19.391
2015-02-08,18.026
2015-02-09,15.304
2015-02-10,17.889
2015-02-11,19.451
2015-02-12,20.765
2015-02-13,22.278
2015-02-14,21.52
2015-02-15,20.217
2015-02-16,19.933
2015-02-17,20.007
2015-02-18,16.845
2015-02-19,15.208
2015-02-20,12.731
2015-02-21,14.87
2015-02-22,17.072
2015-02-23,19.078
2015-02-24,17.594
2015-02-25,17.762
2015-02-26,17.074
2015-02-27,17.231
2015-02-28,15.788
2015-03-01,16.847
2015-03-02,17.28
2015-03-03,17.981
2015-03-04,18.118
2015-03-05,19.962
2015-03-06,19.898
2015-03-07,19.193
2015-03-08,19.087
2015-03-09,20.702
2015-03-10,21.95
2015-03-11,22.466
2015-03-12,19.782
2015-03-13,17.91
2015-03-14,17.862
2015-03-15,19.717
2015-03-16,19.201
2015-03-17,19.63
2015-03-18,19.748
2015-03-19,20.293
2015-03-20,21.545
2015-03-21,21.094
2015-03-22,18.85
2015-03-23,17.612
2015-03-24,13.832
2015-03-25,14.147
2015-03-26,12.293
2015-03-27,14.164
2015-03-28,15.82
2015-03-29,16.813
2015-03-30,14.783
2015-03-31,15.826
2015-04-01,17.346
