Fecha,Temperatura_C
2022-03-04,7.985
2022-03-05,5.655
2022-03-06,3.507
2022-03-07,4.984
2022-03-08,4.482
2022-03-09,5.0
2022-03-10,4.432
2022-03-11,5.997
2022-03-12,5.291
2022-03-13,6.106
2022-03-14,8.305
2022-03-15,10.639
2022-03-16,8.322
2022-03-17,4.121
2022-03-18,2.792
2022-03-19,3.656
2022-03-20,5.236
2022-03-21,5.124
2022-03-22,4.15
2022-03-23,1.847
2022-03-24,3.695
2022-03-25,6.221
2022-03-26,5.727
2022-03-27,5.388
2022-03-28,5.289
2022-03-29,3.212
2022-03-30,0.731
2022-03-31,2.83
2022-04-01,4.33
2022-04-02,3.443
2022-04-03,3.102
2022-04-04,2.905
2022-04-05,4.357
2022-04-06,4.314
2022-04-07,3.618
2022-04-08,4.283
2022-04-09,3.216
2022-04-10,0.341
2022-04-11,-0.535
2022-04-12,0.022
2022-04-13,2.408
2022-04-14,4.383
2022-04-15,2.543
2022-04-16,4.194
2022-04-17,2.797
2022-04-18,2.393
2022-04-19,0.853
2022-04-20,0.235
2022-04-21,-1.121
2022-04-22,-2.79
2022-04-23,1.758
2022-04-24,0.764
2022-04-25,-0.496
2022-04-26,-3.417
2022-04-27,-5.441
2022-04-28,-2.055
2022-04-29,3.134
2022-04-30,0.235
2022-05-01,-1.7
2022-05-02,-2.19
2022-05-03,3.807
2022-05-04,3.985
2022-05-05,1.463
2022-05-06,1.799
2022-05-07,3.268
2022-05-08,3.474
2022-05-09,3.13
2022-05-10,3.032
2022-05-11,2.706
2022-05-12,1.647
2022-05-13,-0.077
2022-05-14,-1.538
2022-05-15,-0.898
2022-05-16,0.267
2022-05-17,1.3
2022-05-18,1.787
2022-05-19,-0.536
2022-05-20,-3.839
2022-05-21,-3.571
2022-05-22,-1.482
2022-05-23,-3.917
2022-05-24,-2.869
2022-05-25,-0.759
2022-05-26,-2.12
2022-05-27,-2.68
2022-05-28,-6.1
2022-05-29,-7.916
2022-05-30,-9.934
2022-05-31,-8.963
2022-06-01,-10.597
2022-06-02,-8.903
2022-06-03,-7.272
2022-06-04,-6.055
2022-06-05,-6.762
2022-06-06,-7.431
2022-06-07,-3.116
2022-06-08,-3.464
2022-06-09,-6.327
2022-06-10,-3.831
2022-06-11,-2.963
2022-06-12,-2.217
2022-06-13,-0.565
2022-06-14,-3.078
2022-06-15,-6.979
2022-06-16,-11.597
2022-06-17,-9.57
2022-06-18,-3.512
2022-06-19,-2.385
2022-06-20,-4.12
2022-09-29,0.261
2022-09-30,-0.998
2022-10-01,1.031
2022-10-02,2.008
2022-10-03,1.605
2022-10-04,-1.708
2022-10-05,-5.642
2022-10-06,-1.687
2022-10-07,-1.28
2022-10-08,-5.004
2022-10-09,-2.841
2022-10-10,-3.717
2022-10-11,-2.32
2022-10-12,-1.136
2022-10-13,-0.451
2022-10-14,0.271
2022-10-15,1.943
2022-10-16,2.41
2022-10-17,0.56
2022-10-18,-0.688
2022-10-19,-3.618
2022-10-20,-1.177
2022-10-21,0.069
2022-10-22,2.138
2022-10-23,2.53
2022-10-24,3.642
2022-10-25,1.421
2022-10-26,-0.403
2022-10-27,1.826
2022-10-28,1.806
2022-10-29,3.848
2022-10-30,1.207
2022-10-31,-5.354
2022-11-01,3.876
2022-11-02,5.028
2022-11-03,6.509
2022-11-04,5.76
2022-11-05,4.861
2022-11-06,5.71
2022-11-07,6.003
2022-11-08,6.245
2022-11-09,3.391
2022-11-10,1.981
2022-11-11,0.311
2022-11-12,-2.174
2022-11-13,-2.94
2022-11-14,2.368
2022-11-15,6.543
2022-11-16,7.642
2022-11-17,6.785
2022-11-18,6.779
2022-11-19,7.266
2022-11-20,4.975
2022-11-21,4.209
2022-11-22,7.52
2022-11-23,10.482
2022-11-24,12.074
2022-11-25,10.957
2022-11-26,11.591
2022-11-27,12.425
2022-11-28,10.503
2022-11-29,7.941
2022-11-30,3.9
2022-12-01,4.422
2022-12-02,6.672
2022-12-03,6.852
2022-12-04,6.871
2022-12-05,6.773
2022-12-06,7.447
2022-12-07,8.069
2022-12-08,8.947
2022-12-09,9.117
2022-12-10,10.365
2022-12-11,11.27
2022-12-12,10.342
2022-12-13,9.894
2022-12-14,8.132
2022-12-15,9.213
2022-12-16,7.211
2022-12-17,5.276
2022-12-18,5.661
2022-12-19,6.687
2022-12-20,6.561
2022-12-21,7.951
2022-12-22,7.458
2022-12-23,5.355
2022-12-24,5.969
2022-12-25,5.54
2022-12-26,2.885
2022-12-27,1.187
2022-12-28,3.6
2022-12-29,7.428
2022-12-30,5.221
2022-12-31,2.619
2023-01-01,1.618
2023-01-02,3.919
2023-01-03,5.94
2023-01-04,9.804
2023-01-05,6.858
2023-01-06,6.827
2023-01-07,7.205
2023-01-08,7.719
2023-01-09,6.042
2023-01-10,4.804
2023-01-11,5.0
2023-01-12,4.635
2023-01-13,5.389
2023-01-14,6.019
2023-01-15,5.873
2023-01-16,6.709
2023-01-17,5.57
2023-01-18,9.526
2023-01-19,11.192
2023-01-20,7.812
2023-01-21,8.057
2023-01-22,9.178
2023-01-23,7.936
2023-01-24,11.484
2023-01-25,7.248
2023-01-26,7.029
2023-01-27,7.33
2023-01-28,10.413
2023-01-29,10.477
2023-01-30,11.675
2023-01-31,12.144
2023-02-01,9.608
2023-02-02,11.044
2023-02-03,11.865
2023-02-04,11.204
2023-02-05,11.719
2023-02-06,11.712
2023-02-07,11.055
2023-02-08,10.057
2023-02-09,10.632
2023-02-10,11.861
2023-02-11,11.901
2023-02-12,9.739
2023-02-13,8.112
2023-02-14,8.603
2023-02-15,9.475
2023-02-16,5.745
2023-02-17,4.326
2023-02-18,3.441
2023-02-19,4.19
2023-02-20,5.165
2023-02-21,5.586
2023-02-22,5.028
2023-02-23,5.84
2023-02-24,6.345
2023-02-25,4.012
2023-02-26,5.859
2023-02-27,8.951
2023-02-28,8.812
2023-03-01,9.631
2023-03-02,11.371
2023-03-03,9.675
2023-03-04,9.805
2023-03-05,10.335
2023-03-06,6.42
2023-03-07,6.041
2023-03-08,6.514
2023-03-09,7.702
2023-03-10,9.648
2023-03-11,9.705
2023-03-12,7.502
2023-03-13,6.278
2023-03-14,6.778
2023-03-15,6.69
2023-03-16,7.101
2023-03-17,8.736
2023-03-18,9.942
2023-03-19,9.944
2023-03-20,9.191
2023-03-21,7.336
2023-03-22,7.102
2023-03-23,7.57
2023-03-24,6.628
2023-03-25,6.283
2023-03-26,8.738
2023-03-27,8.007
2023-03-28,7.451
2023-03-29,7.414
2023-03-30,8.537
