Fecha,Temperatura_°C
2014-01-01,13.937
2014-01-02,11.195
2014-01-03,12.909
2014-01-04,19.058
2014-01-05,18.292
2014-01-06,17.004
2014-01-07,16.904
2014-01-08,16.796
2014-01-09,13.523
2014-01-10,14.626
2014-01-11,16.983
2014-01-12,19.173
2014-01-13,17.417
2014-01-14,17.633
2014-01-15,21.283
2014-01-16,19.104
2014-01-17,15.388
2014-01-18,13.087
2014-01-19,16.213
2014-01-20,15.3
2014-01-21,13.504
2014-01-22,14.218
2014-01-23,12.787
2014-01-24,11.665
2014-01-25,13.039
2014-01-26,13.142
2014-01-27,11.948
2014-01-28,12.95
2014-01-29,15.839
2014-01-30,16.795
2014-01-31,15.481
2014-02-01,13.4
2014-02-02,12.008
2014-02-03,12.917
2014-02-04,13.704
2014-02-05,11.708
2014-02-06,13.191
2014-02-07,14.292
2014-02-08,13.7
2014-02-09,14.108
2014-02-10,14.939
2014-02-11,14.954
2014-02-12,15.538
2014-02-13,15.267
2014-02-14,14.318
2014-02-15,10.75
2014-02-16,11.708
2014-02-17,13.571
2014-02-18,14.15
2014-02-19,13.783
2014-02-20,13.013
2014-02-21,12.604
2014-02-22,13.783
2014-02-23,14.035
2014-02-24,12.283
2014-02-25,8.323
2014-02-26,12.4
2014-02-27,15.213
2014-02-28,13.867
2014-03-01,7.978
2014-03-02,9.23
2014-03-03,9.843
2014-03-04,12.061
2014-03-05,12.517
2014-03-06,12.552
2014-03-07,14.783
2014-03-08,14.896
2014-03-09,10.335
2014-03-10,10.5
2014-03-11,11.718
2014-03-12,12.526
2014-03-13,10.779
2014-03-14,9.004
2014-03-15,9.758
2014-03-16,11.387
2014-03-17,12.846
2014-03-18,10.492
2014-03-19,10.691
2014-03-20,12.117
2014-03-21,12.642
2014-03-22,15.583
2014-03-23,14.896
2014-03-24,13.978
2014-03-25,13.7
2014-03-26,13.129
2014-03-27,11.879
2014-03-28,12.292
2014-03-29,10.683
2014-03-30,6.725
2014-03-31,5.739
2014-04-01,9.479
2014-04-02,10.333
2014-04-03,10.3
2014-04-04,10.813
2014-04-05,10.846
2014-04-06,9.036
2014-04-07,2.896
2014-04-08,6.933
2014-04-09,7.768
2014-04-10,6.743
2014-04-11,5.545
2014-04-12,7.679
2014-04-13,11.337
2014-04-14,12.8
2014-04-15,14.108
2014-04-16,9.842
2014-04-17,8.004
2014-04-18,7.017
2014-04-19,10.325
2014-04-20,10.829
2014-04-21,10.138
2014-04-22,12.967
2014-04-23,14.213
2014-04-24,14.013
2014-04-25,12.533
2014-04-26,11.063
2014-04-27,7.788
2014-04-28,8.142
2014-04-29,6.829
2014-04-30,4.613
2014-05-01,0.705
2014-05-02,2.271
2014-05-03,3.93
2014-05-04,6.046
2014-05-05,7.508
2014-05-06,8.658
2014-05-07,9.317
2014-05-08,11.829
2014-05-09,10.658
2014-05-10,8.65
2014-05-11,6.642
2014-05-12,6.175
2014-05-13,7.337
2014-05-14,8.504
2014-05-15,7.987
2014-05-16,7.118
2014-05-17,7.562
2014-05-18,7.85
2014-05-19,7.53
2014-05-20,5.208
2014-05-21,-3.235
2014-05-22,-2.54
2014-05-23,0.629
2014-05-24,3.498
2014-05-25,2.515
2014-05-26,4.537
2014-05-27,6.135
2014-05-28,7.138
2014-05-29,2.423
2014-05-30,0.275
2014-05-31,0.659
2014-06-01,3.739
2014-06-02,4.756
2014-06-03,4.818
2014-06-04,-4.44
2014-06-05,-5.039
2014-06-06,-4.272
2014-06-07,-6.67
2014-06-08,-3.811
2014-06-09,2.059
2014-06-10,3.673
2014-06-11,1.075
2014-06-12,-5.688
2014-06-13,-2.852
2014-06-14,3.063
2014-06-15,6.052
2014-06-16,5.249
2014-06-17,5.584
2014-06-18,5.646
2014-06-19,5.692
2014-06-20,5.198
2014-06-21,3.699
2014-06-22,2.388
2014-06-23,3.457
2014-06-24,3.292
2014-06-25,0.789
2014-06-26,-2.049
2014-06-27,0.495
2014-06-28,3.47
2014-06-29,4.294
2014-06-30,2.755
2014-07-01,1.17
2014-07-02,-2.688
2014-07-03,0.015
2014-07-04,-1.091
2014-07-05,-4.252
2014-07-06,-1.464
2014-07-07,4.177
2014-07-08,5.273
2014-07-09,5.872
2014-07-10,7.248
2014-07-11,4.012
2014-07-12,2.277
2014-07-13,6.608
2014-07-14,3.455
2014-07-15,-0.605
2014-07-16,1.922
2014-07-17,3.778
2014-07-18,7.347
2014-07-19,8.595
2014-07-20,7.483
2014-07-21,4.503
2014-07-22,-1.905
2014-07-23,-4.797
2014-07-24,-2.258
2014-07-25,1.403
2014-07-26,2.249
2014-07-27,3.003
2014-07-28,5.585
2014-07-29,5.739
2014-07-30,6.536
2014-07-31,3.43
2014-08-01,6.486
2014-08-02,6.851
2014-08-03,3.493
2014-08-04,4.217
2014-08-05,6.82
2014-08-06,-0.842
2014-08-07,1.931
2014-08-08,7.142
2014-08-09,8.369
2014-08-10,5.938
2014-08-11,2.626
2014-08-12,1.434
2014-08-13,4.462
2014-08-14,7.059
2014-08-15,6.782
2014-08-16,8.602
2014-08-17,11.237
2014-08-18,13.38
2014-08-19,12.838
2014-08-20,10.927
2014-08-21,8.707
2014-08-22,4.082
2014-08-23,-1.508
2014-08-24,-5.419
2014-08-25,-2.248
2014-08-26,4.66
2014-08-27,4.07
2014-08-28,3.836
2014-08-29,5.037
2014-08-30,1.968
2014-08-31,6.041
2014-09-01,2.938
2014-09-02,1.167
2014-09-03,0.465
2014-09-04,2.375
2014-09-05,-1.47
2014-09-06,-1.625
2014-09-07,6.476
2014-09-08,6.855
2014-09-09,1.389
2014-09-10,-1.94
2014-09-11,2.465
2014-09-12,5.6
2014-09-13,1.793
2014-09-14,2.311
2014-09-15,8.185
2014-09-16,6.65
2014-09-17,5.754
2014-09-18,5.295
2014-09-19,4.494
2014-09-20,6.663
2014-09-21,8.861
2014-09-22,2.292
2014-09-23,0.155
2014-09-24,1.621
2014-09-25,1.4
2014-09-26,2.594
2014-09-27,3.738
2014-09-28,6.125
2014-09-29,5.113
2014-09-30,6.093
2014-10-01,8.796
2014-10-02,9.33
2014-10-03,8.236
2014-10-04,3.13
2014-10-05,5.371
2014-10-06,12.131
2014-10-07,11.348
2014-10-08,9.607
2014-10-09,7.503
2014-10-10,9.218
2014-10-11,7.526
2014-10-12,9.006
2014-10-13,10.926
2014-10-14,12.057
2014-10-15,10.855
2014-10-16,8.839
2014-10-17,7.847
2014-10-18,4.758
2014-10-19,8.466
2014-10-20,12.029
2014-10-21,14.065
2014-10-22,14.65
2014-10-23,14.596
2014-10-24,14.876
2014-10-25,15.813
2014-10-26,12.417
2014-10-27,8.843
2014-10-28,8.382
2014-10-29,6.021
2014-10-30,5.306
2014-10-31,6.849
2014-11-01,6.125
2014-11-02,6.29
2014-11-03,5.593
2014-11-04,7.707
2014-11-05,6.777
2014-11-06,9.356
2014-11-07,9.965
2014-11-08,12.528
2014-11-09,12.729
2014-11-10,10.775
2014-11-11,9.715
2014-11-12,9.391
2014-11-13,10.391
2014-11-14,14.102
2014-11-15,14.771
2014-11-16,15.007
2014-11-17,14.855
2014-11-18,11.425
2014-11-19,10.407
2014-11-20,7.008
2014-11-21,7.537
2014-11-22,10.486
2014-11-23,10.747
2014-11-24,7.623
2014-11-25,9.946
2014-11-26,10.62
2014-11-27,12.09
2014-11-28,11.483
2014-11-29,3.853
2014-11-30,3.564
2014-12-01,6.58
2014-12-02,11.276
2014-12-03,15.277
2014-12-04,16.899
2014-12-05,15.382
2014-12-06,10.915
2014-12-07,14.134
2014-12-08,15.513
2014-12-09,13.493
2014-12-10,12.042
2014-12-11,11.263
2014-12-12,10.759
2014-12-13,11.503
