Fecha,Temperatura_C
2014-01-01,6.144
2014-01-02,4.16
2014-01-03,5.526
2014-01-04,8.98
2014-01-05,9.399
2014-01-06,8.515
2014-01-07,7.475
2014-01-08,8.85
2014-01-09,7.232
2014-01-10,5.66
2014-01-11,6.407
2014-01-12,7.253
2014-01-13,8.768
2014-01-14,5.612
2014-01-15,4.972
2014-01-16,5.236
2014-01-17,2.912
2014-01-18,3.825
2014-01-19,5.447
2014-01-20,5.824
2014-01-21,6.255
2014-01-22,7.789
2014-01-23,5.515
2014-01-24,4.295
2014-01-25,3.044
2014-01-26,3.572
2014-01-27,2.757
2014-01-28,2.395
2014-01-29,5.042
2014-01-30,6.276
2014-01-31,6.669
2014-02-01,5.626
2014-02-02,4.005
2014-02-03,4.406
2014-02-04,4.03
2014-02-05,4.225
2014-02-06,4.888
2014-02-07,6.155
2014-02-08,6.207
2014-02-09,5.332
2014-02-10,5.875
2014-02-11,5.591
2014-02-12,5.585
2014-02-13,4.44
2014-02-14,3.582
2014-02-15,0.736
2014-02-16,0.115
2014-02-17,2.764
2014-02-18,2.094
2014-02-19,1.78
2014-02-20,2.784
2014-02-21,2.794
2014-02-22,3.89
2014-02-23,4.599
2014-02-24,2.307
2014-02-25,0.447
2014-02-26,1.951
2014-02-27,4.43
2014-02-28,3.996
2014-03-01,0.168
2014-03-02,-3.694
2014-03-03,-1.445
2014-03-04,0.447
2014-03-05,3.59
2014-03-06,3.839
2014-03-07,5.86
2014-03-08,6.116
2014-03-09,1.403
2014-03-10,0.899
2014-03-11,2.058
2014-03-12,2.113
2014-03-13,2.079
2014-03-14,-0.915
2014-03-15,0.164
2014-03-16,1.945
2014-03-17,4.072
2014-03-18,1.731
2014-03-19,0.085
2014-03-20,1.374
2014-03-21,2.322
2014-03-22,4.338
2014-03-23,4.16
2014-03-24,2.524
2014-03-25,1.858
2014-03-26,1.38
2014-03-27,0.741
2014-03-28,0.814
2014-03-29,-0.443
2014-03-30,-5.048
2014-03-31,-2.939
2014-04-01,1.073
2014-04-02,1.095
2014-04-03,1.755
2014-04-04,2.473
2014-04-05,2.676
2014-04-06,2.332
2014-04-07,-2.765
2014-04-08,1.686
2014-04-09,2.445
2014-04-10,-2.981
2014-04-11,-4.054
2014-04-12,-0.704
2014-04-13,1.919
2014-04-14,3.893
2014-04-15,4.634
2014-04-16,2.055
2014-04-17,1.024
2014-04-18,-0.071
2014-04-19,-1.341
2014-04-20,1.728
2014-04-21,3.374
2014-04-22,2.448
2014-04-23,2.932
2014-04-24,2.427
2014-04-25,0.753
2014-04-26,1.024
2014-04-27,-1.556
2014-04-28,-1.455
2014-04-29,-4.357
2014-04-30,-5.86
2014-05-01,-6.264
2014-05-02,-2.32
2014-05-03,-3.629
2014-05-04,-1.43
2014-05-05,-1.214
2014-05-06,0.864
2014-05-07,2.515
2014-05-08,4.558
2014-05-09,1.973
2014-05-10,-0.774
2014-05-11,-2.992
2014-05-12,-4.415
2014-05-13,-3.592
2014-05-14,-3.079
2014-05-15,-2.356
2014-05-16,-2.49
2014-05-17,-2.328
2014-05-18,-2.51
2014-05-19,-1.06
2014-05-20,-4.315
2014-05-21,-10.865
2014-05-22,-12.563
2014-05-23,-8.663
2014-05-24,-4.993
2014-05-25,-2.95
2014-05-26,-3.334
2014-05-27,-3.472
2014-05-28,-0.997
2014-05-29,-6.509
2014-05-30,-9.19
2014-05-31,-9.549
2014-06-01,-5.54
2014-06-02,-3.864
2014-06-03,-5.782
2014-06-04,-11.668
2014-06-05,-11.553
2014-06-06,-12.715
2014-06-07,-16.343
2014-06-08,-12.18
2014-06-09,-8.518
2014-06-12,-14.48
2014-06-13,-8.927
2014-06-14,-4.505
2014-06-15,-1.956
2014-06-16,-0.902
2014-06-17,-0.757
2014-06-18,-0.554
2014-06-19,-1.173
2014-06-20,-0.164
2014-06-21,-3.725
2014-06-22,-5.097
2014-06-23,-4.72
2014-06-24,-8.019
2014-06-25,-11.135
2014-06-26,-14.333
2014-06-27,-11.454
2014-06-28,-4.149
2014-06-29,-3.781
2014-06-30,-4.857
2014-07-01,-7.11
2014-07-02,-10.333
2014-07-03,-9.092
2014-07-04,-11.248
2014-07-05,-13.176
2014-07-06,-8.458
2014-07-07,-5.378
2014-07-08,-4.053
2014-07-09,-2.74
2014-07-10,-1.66
2014-07-11,-4.459
2014-07-12,-5.454
2014-07-13,-0.536
2014-07-14,-4.424
2014-07-15,-4.575
2014-07-16,-3.566
2014-07-17,-3.012
2014-07-18,-0.364
2014-07-19,0.204
2014-07-20,-1.467
2014-07-21,-5.177
2014-07-22,-12.766
2014-07-23,-16.756
2014-07-24,-9.47
2014-07-25,-7.415
2014-07-26,-8.265
2014-07-27,-5.802
2014-07-28,-3.094
2014-07-29,-3.025
2014-07-30,-2.274
2014-07-31,-1.147
2014-08-01,-0.867
2014-08-02,-1.926
2014-08-03,-5.381
2014-08-04,-0.863
2014-08-05,-0.586
2014-08-06,-5.961
2014-08-07,-5.15
2014-08-08,-2.477
2014-08-09,-1.629
2014-08-10,-3.742
2014-08-11,-5.376
2014-08-12,-5.616
2014-08-13,-4.051
2014-08-14,-2.589
2014-08-15,-3.007
2014-08-16,-1.432
2014-08-17,1.448
2014-08-18,3.272
2014-08-19,4.381
2014-08-20,1.078
2014-08-21,0.215
2014-08-22,-1.125
2014-08-23,-6.592
2014-08-24,-11.676
2014-08-25,-5.388
2014-08-26,-4.231
2014-08-27,-6.846
2014-08-28,-6.913
2014-08-29,-3.866
2014-08-30,-5.804
2014-08-31,-4.537
2014-09-01,-7.166
2014-09-02,-5.898
2014-09-03,-3.251
2014-09-04,-5.787
2014-09-05,-8.054
2014-09-06,-4.386
2014-09-07,-0.748
2014-09-08,-0.687
2014-09-09,-5.516
2014-09-10,-7.627
2014-09-11,-4.077
2014-09-12,-4.828
2014-09-13,-8.089
2014-09-14,-7.41
2014-09-15,-1.41
2014-09-16,-3.041
2014-09-17,-3.307
2014-09-18,-7.712
2014-09-19,-8.966
2014-09-20,-1.416
2014-09-21,-0.74
2014-09-22,-4.706
2014-09-23,-7.923
2014-09-24,-5.139
2014-09-25,-8.073
2014-09-26,-6.314
2014-09-27,-3.15
2014-09-28,-2.264
2014-09-29,-3.625
2014-09-30,-5.384
2014-10-10,0.365
2014-10-11,0.316
2014-10-12,1.341
2014-10-13,1.601
2014-10-14,3.808
2014-10-15,2.487
2014-10-16,1.855
2014-10-17,-1.191
2014-10-18,-0.401
2014-10-19,0.148
2014-10-20,3.362
2014-10-21,5.96
2014-10-22,4.66
2014-10-23,3.966
2014-10-24,5.697
2014-10-25,7.557
2014-10-26,5.963
2014-10-27,4.139
2014-10-28,2.446
2014-10-29,-0.662
2014-10-30,-2.533
2014-10-31,-1.829
2014-11-01,-2.404
2014-11-02,-2.777
2014-11-03,-3.698
2014-11-04,-2.151
2014-11-05,-1.606
2014-11-06,-0.8
2014-11-07,0.694
2014-11-08,2.404
2014-11-09,2.63
2014-11-10,0.799
2014-11-11,0.666
2014-11-12,-0.494
2014-11-13,-1.549
2014-11-14,2.829
2014-11-15,3.371
2014-11-16,2.763
2014-11-17,3.197
2014-11-18,1.613
2014-11-19,-0.007
2014-11-20,-2.389
2014-11-21,-2.235
2014-11-22,2.078
2014-11-23,2.395
2014-11-24,0.721
2014-11-25,-0.702
2014-11-26,-0.169
2014-11-27,1.766
2014-11-28,2.926
2014-11-29,-0.289
2014-11-30,-2.394
2014-12-01,-2.254
2014-12-02,1.458
2014-12-03,5.91
2014-12-04,8.282
2014-12-05,7.1
2014-12-06,6.083
2014-12-07,4.827
2014-12-08,5.361
2014-12-09,4.974
2014-12-10,3.473
2014-12-11,2.332
2014-12-12,1.956
2014-12-13,2.483
2014-12-14,2.91
2014-12-15,1.591
2014-12-16,1.308
2014-12-17,1.443
2014-12-18,2.157
2014-12-19,2.082
2014-12-20,-1.177
2014-12-21,-4.376
2014-12-22,-0.28
2014-12-23,3.792
2014-12-24,2.894
2014-12-25,3.464
2014-12-26,4.79
2014-12-27,4.514
2014-12-28,5.645
2014-12-29,5.988
2014-12-30,5.249
2014-12-31,2.741
2015-01-01,2.75
2015-01-02,3.448
2015-01-03,5.107
2015-01-04,6.981
2015-01-05,6.23
2015-01-06,5.809
2015-01-07,4.55
2015-01-08,4.461
2015-01-09,5.889
2015-01-10,6.73
2015-01-11,6.78
2015-01-12,5.213
2015-01-13,3.639
2015-01-14,5.231
2015-01-15,6.041
2015-01-16,5.431
2015-01-17,5.971
2015-01-18,6.428
2015-01-19,7.027
2015-01-20,7.306
2015-01-21,7.927
2015-01-22,8.042
2015-01-23,8.82
2015-01-24,9.296
2015-01-25,9.372
2015-01-26,7.108
2015-01-27,5.995
2015-01-28,4.856
2015-01-29,6.214
2015-01-30,6.676
2015-01-31,7.978
2015-02-01,7.886
2015-02-02,8.33
2015-02-03,7.467
2015-02-04,8.321
2015-02-05,9.56
2015-02-06,9.305
2015-02-07,7.524
2015-02-08,5.368
2015-02-09,2.443
2015-02-10,2.047
2015-02-11,3.906
2015-02-12,4.737
2015-02-13,6.952
2015-02-14,6.6
2015-02-15,5.83
2015-02-16,5.875
2015-02-17,4.805
2015-02-18,1.091
2015-02-19,-2.06
2015-02-20,-3.159
2015-02-21,0.461
2015-02-22,1.87
2015-02-23,5.703
2015-02-24,5.45
2015-02-25,4.676
2015-02-26,4.204
2015-02-27,2.563
2015-02-28,2.467
2015-03-01,3.061
2015-03-02,2.352
2015-03-03,3.025
2015-03-04,3.563
2015-03-05,5.046
2015-03-06,7.24
2015-03-07,8.271
2015-03-08,8.661
2015-03-09,8.862
2015-03-10,9.251
2015-03-11,10.543
2015-03-12,9.852
2015-03-13,7.539
2015-03-14,5.578
2015-03-15,6.349
2015-03-16,6.465
2015-03-17,7.625
2015-03-18,7.066
2015-03-19,6.531
2015-03-20,6.456
2015-03-21,5.862
2015-03-22,3.8
2015-03-23,1.836
2015-03-24,-2.912
2015-03-25,-3.87
2015-03-26,-5.648
2015-03-27,-4.905
2015-03-28,-2.114
2015-03-29,0.593
2015-03-30,-1.346
2015-03-31,-0.64
2015-04-01,1.189
2015-04-02,1.81
2015-04-03,0.211
2015-04-04,-1.373
2015-04-05,-1.424
2015-04-06,1.463
2015-04-07,-0.197
2015-04-08,1.779
2015-04-09,2.213
2015-04-10,5.05
2015-04-11,5.765
2015-04-12,4.712
2015-04-13,1.887
2015-04-14,0.176
2015-04-15,-0.53
2015-04-16,-5.186
2015-04-17,-2.179
2015-04-18,-0.492
2015-04-19,-1.451
2015-04-20,-1.681
2015-04-21,-3.246
2015-04-22,-1.55
2015-04-23,0.254
2015-04-24,1.424
2015-04-25,1.184
2015-04-26,1.45
2015-04-27,2.899
2015-04-28,3.043
2015-04-29,2.817
2015-04-30,3.014
2015-05-01,0.182
2015-05-02,-5.1
2015-05-03,-5.483
2015-05-04,-3.593
2015-05-05,-3.472
2015-05-06,-2.476
2015-05-07,-5.108
2015-05-08,-3.172
2015-05-09,-4.962
2015-05-10,-2.198
2015-05-11,-0.306
2015-05-12,-0.423
2015-05-13,-0.952
2015-05-14,-1.388
2015-05-15,-2.177
2015-05-16,-1.395
2015-05-17,-0.857
2015-05-18,-0.842
2015-05-19,3.036
2015-05-20,2.348
2015-05-21,2.407
2015-05-22,-1.734
2015-05-23,-4.369
2015-05-24,-5.762
2015-05-25,-3.934
2015-05-26,-4.206
2015-05-27,-4.538
2015-05-28,-3.509
2015-05-29,-6.822
2015-05-30,-7.156
2015-05-31,-6.152
2015-06-01,-3.165
2015-06-02,-0.671
2015-06-03,0.133
2015-06-04,0.729
2015-06-05,1.383
2015-06-06,-0.512
2015-06-07,0.851
2015-06-08,-1.098
2015-06-09,-3.251
2015-06-10,-4.55
2015-06-11,-4.755
2015-06-12,-6.671
2015-06-13,-9.847
2015-06-14,-9.739
2015-06-15,-5.623
2015-06-16,-5.141
2015-06-17,-7.523
2015-06-18,-2.975
2015-06-19,-0.294
2015-06-20,-0.383
2015-06-21,-1.102
2015-06-22,-1.543
2015-06-23,-0.496
2015-06-24,-0.031
2015-06-25,-2.757
2015-06-26,-1.502
2015-06-27,0.228
2015-06-28,-2.791
2015-06-29,-5.669
2015-06-30,-5.356
2015-07-01,-5.809
2015-07-02,-8.488
2015-07-03,-7.901
2015-07-04,-5.698
2015-07-05,-7.449
2015-07-06,-8.109
2015-07-07,-7.942
2015-07-08,-5.403
2015-07-09,-7.1
2015-07-10,-7.776
2015-07-11,-8.371
2015-07-12,-11.128
2015-07-13,-16.659
2015-07-14,-15.338
2015-07-15,-11.8
2015-07-16,-10.058
2015-07-17,-4.42
2015-07-18,-6.568
2015-07-19,-10.177
2015-07-20,-9.955
2015-07-21,-5.909
2015-07-22,-6.389
2015-07-23,-6.676
2015-07-24,-4.023
2015-07-25,-1.983
2015-07-26,-1.17
2015-07-27,-4.329
2015-07-28,-4.639
2015-07-29,-3.305
2015-07-30,-6.588
2015-07-31,-6.407
2015-08-01,-5.603
2015-08-02,-6.674
2015-08-03,-5.746
2015-08-04,-4.374
2015-08-05,-8.201
2015-08-06,-8.206
2015-08-07,-8.13
2015-08-08,-8.516
2015-08-09,-11.445
2015-08-10,-12.853
2015-08-11,-11.129
2015-08-12,-12.613
2015-08-13,-13.129
2015-08-14,-15.063
2015-08-15,-8.364
2015-08-16,-10.228
2015-08-17,-8.225
2015-08-18,-2.417
2015-08-19,-3.945
2015-08-20,-7.02
2015-08-21,-8.033
2015-08-22,-6.147
2015-08-23,-2.713
