Fecha,Temperatura_C
2014-01-09,16.014
2014-01-10,14.971
2014-01-11,17.942
2014-01-12,19.65
2014-01-13,17.854
2014-01-14,18.467
2014-01-15,22.048
2014-01-16,19.492
2014-01-17,16.557
2014-01-18,14.474
2014-01-19,17.087
2014-01-20,15.848
2014-01-21,14.662
2014-01-22,15.108
2014-01-23,13.158
2014-01-24,12.87
2014-01-25,13.629
2014-01-26,14.088
2014-01-27,13.108
2014-01-28,13.767
2014-01-29,17.096
2014-01-30,18.117
2014-01-31,15.487
2014-02-01,13.754
2014-02-02,12.258
2014-02-03,13.388
2014-02-04,13.896
2014-02-05,12.012
2014-05-26,6.033
2014-05-27,6.883
2014-05-28,7.692
2014-05-29,3.417
2014-05-30,1.017
2014-05-31,1.554
2014-06-01,5.117
2014-06-02,6.263
2014-06-03,4.338
2014-06-04,-2.725
2014-06-05,-2.875
2014-06-06,-2.858
2014-06-07,-5.525
2014-06-08,-3.363
2014-06-09,3.487
2014-06-10,5.592
2014-06-11,2.412
2014-06-12,-4.367
2014-06-13,-2.225
2014-06-14,5.187
2014-06-15,6.996
2014-06-16,7.238
2014-06-17,7.604
2014-06-18,6.754
2014-06-19,7.212
2014-06-20,6.529
2014-06-21,5.408
2014-06-22,3.079
2014-06-23,4.271
2014-06-24,4.479
2014-06-25,2.117
2014-06-26,-1.267
2014-06-27,1.158
2014-06-28,5.008
2014-06-29,4.8
2014-06-30,3.542
2014-07-01,2.571
2014-07-02,-1.55
2014-07-03,0.967
2014-07-04,-0.558
2014-07-05,-2.854
2014-07-06,-1.425
2014-07-07,4.754
2014-07-08,6.175
2014-07-09,6.442
2014-07-10,7.508
2014-07-11,4.925
2014-07-12,2.85
2014-07-13,7.625
2014-07-14,4.346
2014-07-15,1.171
2014-07-16,2.842
2014-07-17,5.15
2014-07-18,7.6
2014-07-19,8.758
2014-07-20,8.058
2014-07-21,4.808
2014-07-22,-1.038
2014-07-23,-4.9
2014-07-24,-1.875
2014-07-25,2.042
2014-07-26,3.4
2014-07-27,3.8
2014-07-28,5.433
2014-07-29,5.792
2014-07-30,6.587
2014-07-31,2.962
2014-08-01,6.704
2014-08-02,6.929
2014-08-03,3.179
2014-08-04,4.621
2014-08-05,6.55
2014-08-06,-0.613
