Fecha,Altura_de_Nieve_cm
2016-04-17,3.462173907653145
2016-04-18,3.721904754638672
2016-04-19,5.732916617145141
2016-04-20,5.536521699117578
2016-04-21,2.959999999962747
2016-04-22,3.395416667064031
2016-04-23,3.63400000333786
2016-04-24,5.358695652173913
2016-04-25,5.414444433318244
2016-04-26,7.074347817379495
2016-04-27,6.645909070968628
2016-04-28,5.352916677792867
2016-04-29,3.675217384877412
2016-04-30,3.177916693190733
2016-05-01,3.390416651964188
2016-05-02,3.1629166454076767
2016-05-03,3.1070833057165146
2016-05-04,3.0716666728258133
2016-05-05,3.793181863698092
2016-05-06,3.549565201220305
2016-05-07,3.791818196123296
2016-05-08,3.799583315849304
2016-05-09,3.5616666773955026
2016-05-10,3.649565250977226
2016-05-11,7.4645833522081375
2016-05-12,11.984999974568684
2016-05-13,11.31166664759318
2016-05-14,12.493749976158142
2016-05-15,18.26434786423393
2016-05-16,17.637916803359985
2016-05-17,17.761250019073486
2016-05-18,17.191250205039978
2016-05-19,15.00291661421458
2016-05-20,13.946250001589457
2016-05-21,14.320833325386047
2016-05-22,13.295000036557516
2016-05-23,13.055652245231297
2016-05-24,11.752173879872196
2016-05-25,11.696249922116598
2016-05-26,11.112499992052712
2016-05-27,11.175652089326276
2016-05-28,10.569130524345066
2016-05-29,36.39454542506825
2016-05-30,50.13000002774325
2016-05-31,53.477222230699326
2016-06-01,83.4547620500837
2016-06-02,103.79208310445148
2016-06-03,154.0824991861979
2016-06-04,177.19349975585936
2016-06-05,170.6620839436849
2016-06-06,164.4440911032937
2016-06-07,158.81291643778482
2016-06-08,155.33999951680502
2016-06-09,151.72875213623047
2016-06-10,147.98750114440918
2016-06-11,144.6270834604899
2016-06-12,146.69565350076428
2016-06-13,161.30428568522134
2016-06-14,170.05650024414064
2016-06-15,166.6141675313314
2016-06-16,162.11166699727377
2016-06-17,159.3995844523112
2016-06-18,156.60666529337564
2016-06-19,154.60166676839194
2016-06-20,152.74291801452637
2016-06-21,150.88086799953294
2016-06-22,149.8345832824707
2016-06-23,148.35666847229004
2016-06-24,146.20208231608072
2016-06-25,144.75130628502887
2016-06-26,142.24833297729492
2016-06-27,140.9258352915446
