Fecha,Temperatura_°C
2014-01-01,13.99
2014-01-02,12.062
2014-01-03,12.8
2014-01-04,16.98
2014-01-05,17.69
2014-01-06,16.155
2014-01-07,15.48
2014-01-08,16.046
2014-01-09,14.29
2014-01-10,13.777
2014-01-11,14.945
2014-01-12,15.902
2014-01-13,15.841
2014-01-14,13.457
2014-01-15,15.555
2014-01-16,15.397
2014-01-17,10.765
2014-01-18,10.88
2014-01-19,12.944
2014-01-20,13.953
2014-01-21,14.22
2014-01-22,14.652
2014-01-23,13.753
2014-01-24,11.877
2014-01-25,11.271
2014-01-26,11.467
2014-01-27,10.667
2014-01-28,11.159
2014-01-29,13.79
2014-01-30,14.515
2014-01-31,14.474
2014-02-01,13.717
2014-02-02,11.88
2014-02-03,12.139
2014-02-04,12.259
2014-02-05,11.696
2014-02-06,12.524
2014-02-07,13.093
2014-02-08,12.908
2014-02-09,13.065
2014-02-10,13.233
2014-02-11,13.053
2014-02-12,13.325
2014-02-13,12.9
2014-02-14,11.728
2014-02-15,9.243
2014-02-16,9.024
2014-02-17,10.81
2014-02-18,10.249
2014-02-19,10.598
2014-02-20,11.1
2014-02-21,10.953
2014-02-22,11.352
2014-02-23,11.56
2014-02-24,10.082
2014-02-25,7.797
2014-02-26,10.123
2014-02-27,12.499
2014-02-28,12.049
2014-03-01,8.072
2014-03-02,4.916
2014-03-03,7.494
2014-03-04,9.255
2014-03-05,11.834
2014-03-06,11.027
2014-03-07,13.01
2014-03-08,12.58
2014-03-09,9.716
2014-03-10,8.896
2014-03-11,9.813
2014-03-12,10.198
2014-03-13,9.818
2014-03-14,6.724
2014-03-15,8.018
2014-03-16,8.856
2014-03-17,11.336
2014-03-18,9.673
2014-03-19,8.163
2014-03-20,9.22
2014-03-21,10.329
2014-03-22,12.105
2014-03-23,11.986
2014-03-24,10.485
2014-03-25,9.949
2014-03-26,9.488
2014-03-27,9.002
2014-03-28,9.035
2014-03-29,7.438
2014-03-30,4.577
2014-03-31,6.199
2014-04-01,7.973
2014-04-02,8.615
2014-04-03,9.296
2014-04-04,9.77
2014-04-05,10.114
2014-04-06,10.516
2014-04-07,5.287
2014-04-08,8.377
2014-04-09,9.592
2014-04-10,4.948
2014-04-11,4.55
2014-04-12,7.388
2014-04-13,9.025
2014-04-14,9.868
2014-04-15,11.287
2014-04-16,8.775
2014-04-17,8.014
2014-04-18,6.685
2014-04-19,6.228
2014-04-20,9.474
2014-04-21,11.823
2014-04-22,9.17
2014-04-23,10.084
2014-04-24,9.71
2014-04-25,8.806
2014-04-26,8.013
2014-04-27,7.194
2014-04-28,5.481
2014-04-29,3.58
2014-04-30,1.699
2014-05-01,3.218
2014-05-02,6.594
2014-05-03,5.663
2014-05-04,4.997
2014-05-05,5.48
2014-05-06,7.016
2014-05-07,8.636
2014-05-08,10.421
2014-05-09,8.623
2014-05-10,6.84
2014-05-11,4.545
2014-05-12,3.285
2014-05-13,4.09
2014-05-14,4.35
2014-05-15,4.39
2014-05-16,4.721
2014-05-17,4.787
2014-05-18,5.017
2014-05-19,5.512
2014-05-20,4.242
2014-05-21,-1.56
2014-05-22,-3.4
2014-05-23,0.826
2014-05-24,1.543
2014-05-25,0.819
2014-05-26,3.907
2014-05-27,1.273
2014-05-28,9.97
2014-05-29,3.332
2014-05-30,-1.179
2014-05-31,-1.92
2014-06-01,1.051
2014-06-02,2.894
2014-06-03,3.928
2014-06-04,-2.907
2014-06-05,-4.179
2014-06-06,-3.455
2014-06-07,-6.272
2014-06-08,-5.193
2014-06-09,-3.379
2014-06-12,-9.625
2014-06-13,-2.533
2014-06-14,0.226
2014-06-15,2.499
2014-06-16,3.364
2014-06-17,4.237
2014-06-18,4.344
2014-06-19,4.213
2014-06-20,4.452
2014-06-21,3.753
2014-06-22,3.091
2014-06-23,2.48
2014-06-24,-0.278
2014-06-25,-3.169
2014-06-26,-5.225
2014-06-27,-2.966
2014-06-28,1.925
2014-06-29,1.98
2014-06-30,0.963
2014-07-01,0.073
2014-07-02,-0.794
2014-07-03,-1.202
2014-07-04,-1.302
2014-07-05,-5.43
2014-07-06,-1.971
2014-07-07,1.42
2014-07-08,2.544
2014-07-09,3.361
2014-07-10,3.814
2014-07-11,2.088
2014-07-12,1.503
2014-07-13,5.035
2014-07-14,5.358
2014-07-15,3.5
2014-07-16,4.283
2014-07-17,4.136
2014-07-18,6.249
2014-07-19,6.511
2014-07-20,5.079
2014-07-21,1.485
2014-07-22,-3.933
2014-07-23,-8.458
2014-07-24,-4.534
2014-07-25,-0.498
2014-07-26,-0.2
2014-07-27,2.663
2014-07-28,3.992
2014-07-29,5.248
2014-07-30,6.4
2014-07-31,6.467
2014-08-01,6.668
2014-08-02,7.99
2014-08-03,5.189
2014-08-04,5.527
2014-08-05,6.516
2014-08-06,3.814
2014-08-07,2.742
2014-08-08,5.266
2014-08-09,5.222
2014-08-10,4.614
2014-08-11,4.444
2014-08-12,1.982
2014-08-13,2.977
2014-08-14,3.896
2014-08-15,4.816
2014-08-16,6.44
2014-08-17,9.647
2014-08-18,10.796
2014-08-19,10.218
2014-08-20,8.598
2014-08-21,7.48
2014-08-22,6.017
2014-08-23,2.459
2014-08-24,-3.022
2014-08-25,0.543
2014-08-26,3.348
2014-08-27,1.482
2014-08-28,2.873
2014-08-29,6.048
2014-08-30,4.093
2014-08-31,4.507
2014-09-01,2.141
2014-09-02,3.566
2014-09-03,5.696
2014-09-04,2.423
2014-09-05,0.418
2014-09-06,3.435
2014-09-07,6.625
2014-09-08,7.074
2014-09-09,4.258
2014-09-10,1.943
2014-09-11,4.903
2014-09-12,2.853
2014-09-13,-1.681
2014-09-14,-0.771
2014-09-15,6.054
2014-09-16,6.029
2014-09-17,5.046
2014-09-18,1.524
2014-09-19,0.754
2014-09-20,5.807
2014-09-21,7.573
2014-09-22,4.189
2014-09-23,2.212
2014-09-24,3.073
2014-09-25,2.188
2014-09-26,4.129
2014-09-27,5.197
2014-09-28,6.712
2014-09-29,4.173
2014-09-30,5.554
2014-10-01,7.724
2014-10-02,9.936
2014-10-03,6.744
2014-10-04,2.984
2014-10-05,7.983
2014-10-06,10.677
2014-10-07,10.538
2014-10-08,9.761
2014-10-09,8.973
2014-10-10,8.695
2014-10-11,8.933
2014-10-12,9.547
2014-10-13,11.132
2014-10-14,11.969
2014-10-15,11.448
2014-10-16,11.09
2014-10-17,9.166
2014-10-18,7.803
2014-10-19,8.85
2014-10-20,11.163
2014-10-21,13.158
2014-10-22,12.57
2014-10-23,12.73
2014-10-24,13.685
2014-10-25,15.555
2014-10-26,12.858
2014-10-27,11.483
2014-10-28,9.203
2014-10-29,8.674
2014-10-30,6.986
2014-10-31,6.842
2014-11-01,7.43
2014-11-02,7.123
2014-11-03,6.58
2014-11-04,6.64
2014-11-05,7.05
2014-11-06,7.891
2014-11-07,8.951
2014-11-08,10.21
2014-11-09,11.019
2014-11-10,9.674
2014-11-11,8.532
2014-11-12,8.098
2014-11-13,6.606
2014-11-14,12.348
2014-11-15,11.209
2014-11-16,13.111
2014-11-17,12.783
2014-11-18,10.11
2014-11-19,8.816
2014-11-20,6.71
2014-11-21,6.522
2014-11-22,9.355
2014-11-23,10.016
2014-11-24,9.87
2014-11-25,8.579
2014-11-26,9.116
2014-11-27,10.539
2014-11-28,11.133
2014-11-29,7.745
2014-11-30,6.801
2014-12-01,6.336
2014-12-02,9.31
2014-12-03,14.325
2014-12-04,15.343
2014-12-05,14.395
2014-12-06,12.628
2014-12-07,13.276
2014-12-08,13.59
2014-12-09,12.881
2014-12-10,10.99
2014-12-11,10.105
2014-12-12,10.349
2014-12-13,10.638
2014-12-14,9.969
2014-12-15,8.93
2014-12-16,8.818
2014-12-17,9.866
2014-12-18,10.675
2014-12-19,10.616
2014-12-20,7.923
2014-12-21,5.254
2014-12-22,8.687
2014-12-23,11.776
2014-12-24,11.498
2014-12-25,11.526
2014-12-26,12.089
2014-12-27,12.66
2014-12-28,13.794
2014-12-29,13.469
2014-12-30,12.99
2014-12-31,10.954
2015-01-01,11.328
2015-01-02,11.72
2015-01-03,13.228
2015-01-04,15.536
2015-01-05,14.307
2015-01-06,13.888
2015-01-07,13.078
2015-01-08,13.054
2015-01-09,14.152
2015-01-10,14.23
2015-01-11,14.826
2015-01-12,13.351
2015-01-13,12.358
2015-01-14,13.458
2015-01-15,14.622
2015-01-16,13.905
2015-01-17,14.433
2015-01-18,14.354
2015-01-19,14.023
2015-01-20,15.157
2015-01-21,15.783
2015-01-22,15.598
2015-01-23,16.114
2015-01-24,16.227
2015-01-25,16.244
2015-01-26,14.724
2015-01-27,14.242
2015-01-28,13.213
2015-01-29,14.57
2015-01-30,15.422
2015-01-31,16.269
2015-02-01,15.665
2015-02-02,16.412
2015-02-03,15.565
2015-02-04,16.374
2015-02-05,17.678
2015-02-06,16.228
2015-02-07,13.992
2015-02-08,12.398
2015-02-09,10.775
2015-02-10,10.532
2015-02-11,12.037
2015-02-12,12.726
2015-02-13,15.745
2015-02-14,15.007
2015-02-15,14.239
2015-02-16,13.754
2015-02-17,13.347
2015-02-18,9.633
2015-02-19,6.389
2015-02-20,6.059
2015-02-21,9.06
2015-02-22,10.708
2015-02-23,13.151
2015-02-24,12.997
2015-02-25,12.342
2015-02-26,11.256
2015-02-27,10.904
2015-02-28,11.141
2015-03-01,11.413
2015-03-02,10.565
2015-03-03,11.565
2015-03-04,11.736
2015-03-05,12.729
2015-03-06,14.878
2015-03-07,14.68
2015-03-08,15.922
2015-03-09,16.865
2015-03-10,16.912
2015-03-11,17.51
2015-03-12,16.601
2015-03-13,14.51
2015-03-14,13.066
2015-03-15,14.071
2015-03-16,14.04
2015-03-17,14.727
2015-03-18,15.05
2015-03-19,14.471
2015-03-20,14.44
2015-03-21,14.149
2015-03-22,11.783
2015-03-23,10.793
2015-03-24,3.592
2015-03-25,1.671
2015-03-26,1.275
2015-03-27,3.463
2015-03-28,4.681
2015-03-29,7.318
2015-03-30,6.812
2015-03-31,7.7
2015-04-01,9.541
2015-04-02,10.472
2015-04-03,8.777
2015-04-04,7.213
2015-04-05,7.783
2015-04-06,9.513
2015-04-07,9.182
2015-04-08,9.249
2015-04-09,10.514
2015-04-10,12.663
2015-04-11,13.319
2015-04-12,12.169
2015-04-13,9.905
2015-04-14,8.365
2015-04-15,7.828
2015-04-16,5.199
2015-04-17,5.771
2015-04-18,7.591
2015-04-19,6.6
2015-04-20,5.699
2015-04-21,4.525
2015-04-22,6.574
2015-04-23,8.108
2015-04-24,9.308
2015-04-25,8.875
2015-04-26,9.379
2015-04-27,10.346
2015-04-28,10.457
2015-04-29,10.031
2015-04-30,9.723
2015-05-01,7.645
2015-05-02,4.888
2015-05-03,3.213
2015-05-04,3.806
2015-05-05,4.334
2015-05-06,4.888
2015-05-07,4.117
2015-05-08,4.053
2015-05-09,3.795
2015-05-10,5.261
2015-05-11,7.228
2015-05-12,6.719
2015-05-13,6.342
2015-05-14,6.261
2015-05-15,5.387
2015-05-16,6.083
2015-05-17,6.263
2015-05-18,6.191
2015-05-19,3.891
2015-06-01,6.875
2015-06-02,5.684
2015-06-03,6.453
2015-06-04,7.149
2015-06-05,7.554
2015-06-06,6.751
2015-06-07,6.81
2015-06-08,6.01
2015-06-09,4.411
2015-06-10,5.628
2015-06-11,4.757
2015-06-12,3.024
2015-06-13,-0.262
2015-06-14,-2.368
2015-06-15,0.532
2015-06-16,1.41
2015-06-17,-0.113
2015-06-18,2.999
2015-06-19,5.44
2015-06-20,6.387
2015-06-21,6.114
2015-06-22,6.434
2015-06-23,6.415
2015-06-24,6.248
2015-06-25,5.017
2015-06-26,5.131
2015-06-27,5.997
2015-06-28,4.912
2015-06-29,1.373
2015-06-30,1.764
2015-07-01,1.469
2015-07-02,-1.056
2015-07-03,-0.624
2015-07-04,1.242
2015-07-05,-0.335
2015-07-06,-0.371
2015-07-07,-0.544
2015-07-08,1.645
2015-07-09,0.737
2015-07-10,1.247
2015-07-11,0.757
2015-07-12,-3.423
2015-07-13,-8.954
2015-07-14,-10.336
2015-07-15,-7.433
2015-07-16,-1.519
2015-07-17,-1.574
2015-07-18,-0.47
2015-07-19,-2.128
2015-07-20,-5.079
2015-07-21,-0.98
2015-07-22,0.45
2015-07-23,-1.361
2015-07-24,-0.373
2015-07-25,1.432
2015-07-26,3.897
2015-07-27,4.226
2015-07-28,4.908
2015-07-29,2.555
2015-07-30,0.47
2015-07-31,-0.027
2015-08-01,1.952
2015-08-02,1.21
2015-08-03,0.249
2015-08-04,3.328
2015-08-05,-0.062
2015-08-06,-1.205
2015-08-07,2.0
2015-08-08,0.24
2015-08-09,-3.691
2015-08-10,-5.683
2015-08-11,-4.025
2015-08-12,-5.645
2015-08-13,-7.869
2015-08-14,-8.769
2015-08-15,-1.945
2015-08-16,-2.247
2015-08-17,-4.097
2015-08-18,-0.121
2015-08-19,0.619
2015-08-20,-0.073
2015-08-21,0.723
2015-08-22,0.628
2015-08-23,2.688
2015-08-24,3.498
2015-08-25,2.976
2015-08-26,-0.898
2015-08-27,1.929
2015-08-28,6.408
2015-08-29,6.404
2015-08-30,7.713
2015-08-31,7.777
2015-09-01,8.256
2015-09-02,6.596
2015-09-03,5.363
