Fecha,Temperatura_°C
2014-01-01,9.908
2014-01-02,9.638
2014-01-03,10.179
2014-01-04,13.75
2014-01-05,14.737
2014-01-06,14.142
2014-01-07,12.763
2014-01-08,14.167
2014-01-09,11.204
2014-01-10,12.362
2014-01-11,17.233
2014-01-12,19.692
2014-01-13,19.479
2014-01-14,18.117
2014-01-15,16.204
2014-01-16,18.346
2014-01-17,17.708
2014-01-18,16.43
2014-01-19,17.828
2014-01-20,14.968
2014-01-21,11.654
2014-01-22,8.146
2014-01-23,8.7
2014-01-24,11.404
2014-01-25,13.346
2014-01-26,15.552
2014-01-27,13.446
2014-01-28,12.622
2014-01-29,16.652
2014-01-30,13.174
2014-01-31,11.494
2014-02-01,12.071
2014-02-02,10.529
2014-02-03,11.912
2014-02-04,11.583
2014-02-05,10.046
2014-02-06,13.446
2014-02-07,13.257
2014-02-08,13.042
2014-02-09,14.179
2014-02-10,16.796
2014-02-11,14.113
2014-02-12,13.7
2014-02-13,14.971
2014-02-14,17.867
2014-02-15,20.121
2014-02-16,20.633
2014-02-17,19.962
2014-02-18,15.533
2014-02-19,12.817
2014-02-20,14.733
2014-02-21,15.525
2014-02-22,16.075
2014-02-23,16.854
2014-02-24,12.725
2014-02-25,16.058
2014-02-26,19.563
2014-02-27,16.117
2014-02-28,14.717
2014-03-01,15.904
2014-03-02,16.896
2014-03-03,19.371
2014-03-04,13.662
2014-03-05,13.808
2014-03-06,14.487
2014-03-07,11.467
2014-03-08,11.167
2014-03-09,10.033
2014-03-10,13.525
2014-03-11,13.633
2014-03-12,11.096
2014-03-13,10.963
2014-03-14,12.467
2014-03-15,9.05
2014-03-16,10.613
2014-03-17,12.717
2014-03-18,13.179
2014-03-19,14.467
2014-03-20,10.538
2014-03-21,9.967
2014-03-22,15.242
2014-03-23,12.45
2014-03-24,10.613
2014-03-25,14.183
2014-03-26,17.342
2014-03-27,16.9
2014-03-28,12.425
2014-03-29,7.175
2014-03-30,5.867
2014-03-31,6.767
2014-04-01,7.337
2014-04-02,9.796
2014-04-03,12.083
2014-04-04,13.142
2014-04-05,12.5
2014-04-06,12.637
2014-04-07,14.892
2014-04-08,15.613
2014-04-09,11.379
2014-04-10,10.992
2014-04-11,6.571
2014-04-12,7.225
2014-04-13,12.217
2014-04-14,13.962
2014-04-15,11.617
2014-04-16,5.625
2014-04-17,7.696
2014-04-18,6.5
2014-04-19,6.833
2014-04-20,5.587
2014-04-21,10.75
2014-04-22,13.964
2014-04-23,12.327
2014-04-24,11.2
2014-04-25,10.854
2014-04-26,11.792
2014-04-27,7.221
2014-04-28,9.625
2014-04-29,12.233
2014-04-30,11.758
2014-05-01,6.688
2014-05-02,6.033
2014-05-03,8.471
2014-05-04,5.162
2014-05-05,8.796
2014-05-06,9.254
2014-05-07,6.142
2014-05-08,10.008
2014-05-09,11.092
2014-05-10,8.296
2014-05-11,8.43
2014-05-12,7.308
2014-05-13,6.221
2014-05-14,6.329
2014-05-15,2.271
2014-05-16,7.642
2014-05-17,7.188
2014-05-18,5.042
2014-05-19,3.196
2014-05-20,4.029
2014-05-21,4.783
2014-05-22,4.712
2014-05-23,9.887
2014-05-24,11.567
2014-05-25,9.296
2014-05-26,12.883
2014-05-27,14.213
2014-05-28,8.362
2014-05-29,7.825
2014-05-30,7.162
2014-05-31,5.025
2014-06-01,3.983
2014-06-02,3.154
2014-06-03,1.967
2014-06-04,1.904
2014-06-05,1.796
2014-06-06,5.171
2014-06-07,2.05
2014-06-08,3.683
2014-06-09,7.546
2014-06-10,6.45
2014-06-11,4.021
2014-06-12,4.6
2014-06-13,3.846
2014-06-14,5.687
2014-06-15,6.821
2014-06-16,7.292
2014-06-17,4.075
2014-06-18,6.187
2014-06-19,9.183
2014-06-20,7.954
2014-06-21,5.438
2014-06-22,5.946
2014-06-23,7.458
2014-06-24,7.071
2014-06-25,8.004
2014-06-26,10.504
2014-06-27,12.388
2014-06-28,12.396
2014-06-29,11.233
2014-06-30,8.696
2014-07-01,5.275
2014-07-02,4.408
2014-07-03,6.3
2014-07-04,3.988
2014-07-05,6.787
2014-07-06,8.458
2014-07-07,5.146
2014-07-08,4.35
2014-07-09,0.575
2014-07-10,0.2
2014-07-11,2.471
2014-07-12,7.942
2014-07-13,5.712
2014-07-14,8.121
2014-07-15,7.75
2014-07-16,5.633
2014-07-17,5.317
2014-07-18,10.863
2014-07-19,7.7
2014-07-20,9.025
2014-07-21,6.063
2014-07-22,6.067
2014-07-23,5.383
2014-07-24,6.192
2014-07-25,1.1
2014-07-26,-2.05
2014-07-27,-1.746
2014-07-28,2.908
2014-07-29,6.146
2014-07-30,6.608
2014-07-31,8.233
2014-08-01,5.175
2014-08-02,6.671
2014-08-03,6.621
2014-08-04,8.525
2014-08-05,5.2
2014-08-06,7.592
2014-08-07,9.108
2014-08-08,9.85
2014-08-09,5.692
2014-08-10,6.404
2014-08-11,5.129
2014-08-12,6.067
2014-08-13,7.542
2014-08-14,8.621
2014-08-15,9.937
2014-08-16,11.3
2014-08-17,11.1
2014-08-18,7.442
2014-08-19,4.513
2014-08-20,8.6
2014-08-21,8.271
2014-08-22,5.541
2014-08-23,5.487
2014-08-24,5.333
2014-08-25,6.417
2014-08-26,6.242
2014-08-27,5.8
2014-08-28,10.387
2014-08-29,7.013
2014-08-30,6.962
2014-08-31,9.567
2014-09-01,6.983
2014-09-02,8.008
2014-09-03,7.378
2014-09-04,9.721
2014-09-05,6.375
2014-09-06,7.783
2014-09-07,9.138
2014-09-08,4.837
2014-09-09,6.504
2014-09-10,7.996
2014-09-11,9.017
2014-09-12,7.408
2014-09-13,8.579
2014-09-14,10.775
2014-09-15,10.704
2014-09-16,10.162
2014-09-17,9.754
2014-09-18,11.638
2014-09-19,3.408
2014-09-20,4.342
2014-09-21,7.288
2014-09-22,8.025
2014-09-23,7.517
2014-09-24,4.396
2014-09-25,5.187
2014-09-26,6.133
2014-09-27,7.162
2014-09-28,6.529
2014-09-29,7.871
2014-09-30,8.258
2014-10-01,7.521
2014-10-02,9.292
2014-10-03,10.154
2014-10-04,15.187
2014-10-05,12.904
2014-10-06,12.433
2014-10-07,8.271
2014-10-08,7.463
2014-10-09,7.879
2014-10-10,9.612
2014-10-11,8.242
2014-10-12,6.746
2014-10-13,8.396
2014-10-14,10.292
2014-10-15,10.608
2014-10-16,10.45
2014-10-17,10.896
2014-10-18,10.621
2014-10-19,10.529
2014-10-20,11.688
2014-10-21,11.246
2014-10-22,10.129
2014-10-23,11.483
2014-10-24,14.05
2014-10-25,13.804
2014-10-26,11.337
2014-10-27,12.158
2014-10-28,11.008
2014-10-29,4.954
2014-10-30,4.904
2014-10-31,5.458
2014-11-01,6.737
2014-11-02,9.992
2014-11-03,10.762
2014-11-04,11.779
2014-11-05,9.543
2014-11-06,6.858
2014-11-07,7.913
2014-11-08,12.665
2014-11-09,14.188
2014-11-10,11.678
2014-11-11,10.313
2014-11-12,9.888
2014-11-13,14.452
2014-11-14,15.325
2014-11-15,15.479
2014-11-16,14.175
2014-11-17,12.712
2014-11-18,9.579
2014-11-19,10.85
2014-11-20,13.458
2014-11-21,12.792
2014-11-22,13.638
2014-11-23,11.829
2014-11-24,11.596
2014-11-25,11.983
2014-11-26,12.688
2014-11-27,13.133
2014-11-28,10.833
2014-11-29,8.746
2014-11-30,13.421
2014-12-01,13.158
2014-12-02,14.921
2014-12-03,14.987
2014-12-04,16.783
2014-12-05,13.854
2014-12-06,14.779
2014-12-07,14.942
2014-12-08,11.725
2014-12-09,10.458
2014-12-10,10.796
2014-12-11,12.1
2014-12-12,13.625
2014-12-13,15.313
2014-12-14,19.871
2014-12-15,16.496
2014-12-16,14.158
2014-12-17,13.179
2014-12-18,11.621
2014-12-19,7.496
2014-12-20,8.837
2014-12-21,9.492
2014-12-22,11.029
2014-12-23,15.017
2014-12-24,12.712
2014-12-25,13.167
2014-12-26,13.862
2014-12-27,16.817
2014-12-28,16.108
2014-12-29,15.313
2014-12-30,13.592
2014-12-31,9.15
2015-01-01,13.917
2015-01-02,15.096
2015-01-03,15.575
2015-01-04,16.467
2015-01-05,12.654
2015-01-06,11.554
2015-01-07,12.188
2015-01-08,15.067
2015-01-09,14.962
2015-01-10,10.575
2015-01-11,10.5
2015-01-12,10.467
2015-01-13,14.067
2015-01-14,14.017
2015-01-15,16.858
2015-01-16,19.323
2015-01-17,17.733
2015-01-18,15.196
2015-01-19,17.51
2015-01-20,20.417
2015-01-21,20.809
2015-01-22,19.562
2015-01-23,18.448
2015-01-24,18.417
2015-01-25,16.879
2015-01-26,16.262
2015-01-27,12.775
2015-01-28,15.4
2015-01-29,17.504
2015-01-30,19.142
2015-01-31,17.675
2015-02-01,17.062
2015-02-02,18.575
2015-02-03,21.158
2015-02-04,20.496
2015-02-05,17.779
2015-02-06,14.908
2015-02-07,14.679
2015-02-08,13.587
2015-02-09,10.965
2015-02-10,15.142
2015-02-11,13.825
2015-02-12,12.908
2015-02-13,14.379
2015-02-14,17.221
2015-02-15,17.004
2015-02-16,14.013
2015-02-17,11.979
2015-02-18,10.662
2015-02-19,16.313
2015-02-20,15.592
2015-02-21,14.829
2015-02-22,14.708
2015-02-23,15.754
2015-02-24,16.4
2015-02-25,15.983
2015-02-26,21.754
2015-02-27,18.296
2015-02-28,21.663
2015-03-01,18.35
2015-03-02,13.221
2015-03-03,13.154
2015-03-04,15.675
2015-03-05,15.225
2015-03-06,15.212
2015-03-07,13.342
2015-03-08,11.092
2015-03-09,14.596
2015-03-10,16.346
2015-03-11,14.333
2015-03-12,13.671
2015-03-13,10.613
2015-03-14,11.875
2015-03-15,13.833
2015-03-16,12.775
2015-03-17,11.071
2015-03-18,12.179
2015-03-19,10.396
2015-03-20,9.521
2015-03-21,9.879
2015-03-22,11.583
2015-03-23,12.765
