Fecha,Temperatura_°C
2024-01-25,14.042
2024-01-26,9.902
2024-01-27,10.217
2024-01-28,7.258
2024-01-29,7.401
2024-01-30,9.152
2024-01-31,9.306
2024-02-01,9.792
2024-02-02,11.354
2024-02-03,12.17
2024-02-04,10.833
2024-02-05,9.315
2024-02-06,8.476
2024-02-07,7.779
2024-02-08,7.415
2024-02-09,6.073
2024-02-10,6.637
2024-02-11,7.368
2024-02-12,7.748
2024-02-13,8.373
2024-02-14,9.475
2024-02-15,10.91
2024-02-16,11.165
2024-02-17,10.813
2024-02-18,10.622
2024-02-19,11.184
2024-02-20,8.751
2024-02-21,5.737
2024-02-22,3.53
2024-02-23,3.522
2024-02-24,4.695
2024-02-25,6.112
2024-02-26,6.388
2024-02-27,6.264
2024-02-28,6.765
2024-02-29,8.908
2024-03-01,9.364
2024-03-02,8.371
2024-03-03,6.684
2024-03-04,6.734
2024-03-05,5.471
2024-03-06,5.106
2024-03-07,4.881
2024-03-08,4.053
2024-03-09,7.077
2024-03-10,8.802
2024-03-11,8.996
2024-03-12,9.061
2024-03-13,9.262
2024-03-14,8.758
2024-03-15,8.599
2024-03-16,7.903
2024-03-17,7.999
2024-03-18,6.909
2024-03-19,5.974
2024-03-20,4.112
2024-03-21,5.091
2024-03-22,6.962
2024-03-23,8.023
2024-03-24,9.365
2024-03-25,9.482
2024-03-26,7.367
2024-03-27,6.039
2024-03-28,8.202
2024-03-29,7.308
2024-03-30,7.155
2024-03-31,4.734
2024-04-01,4.613
2024-04-02,5.078
2024-04-03,3.948
2024-04-04,3.758
2024-04-05,4.062
2024-04-06,3.358
2024-04-07,4.573
2024-04-08,5.453
2024-04-09,4.076
2024-04-10,4.018
2024-04-11,3.029
2024-04-12,0.708
2024-04-13,-4.265
2024-04-14,-6.11
2024-04-15,-10.423
2024-04-16,-6.896
2024-04-17,-0.31
2024-04-18,2.127
2024-04-19,1.841
2024-04-20,2.557
2024-04-21,0.592
2024-04-22,-0.828
2024-04-23,0.16
2024-04-24,1.62
2024-04-25,1.924
2024-04-26,2.412
2024-04-27,0.932
2024-04-28,-1.146
2024-04-29,-4.768
2024-04-30,-4.642
2024-05-01,-6.37
2024-05-02,-6.281
2024-05-03,-6.034
2024-05-04,-1.731
2024-05-05,-2.029
2024-05-06,-4.853
2024-05-07,-8.263
2024-05-08,-6.475
2024-05-09,-3.155
2024-05-10,-2.706
